region,score,rank,main_cause,best_policy,priority_group,spatial_type
전남 고흥군,99.84,1,수요취약성,핵심문화공급,상위 20%,개별 고취약지역
전북 김제시,97.16,2,수요취약성,핵심문화공급,상위 20%,개별 고취약지역
인천 옹진군,93.78,3,생활문화환경 부족,생활문화환경,상위 20%,개별 고취약지역
전남 신안군,91.8,4,수요취약성,핵심문화공급,상위 20%,개별 고취약지역
전북 임실군,89.07,5,생활문화환경 부족,생활문화환경,상위 20%,개별 고취약지역
경북 의성군,88.47,6,수요취약성,핵심문화공급,상위 20%,개별 고취약지역
경북 봉화군,87.66,7,수요취약성,핵심문화공급,상위 20%,최우선 공간정책 대상
경북 영덕군,85.2,8,수요취약성,핵심문화공급,상위 20%,최우선 공간정책 대상
경남 산청군,82.43,9,포용환경 부족,포용환경,상위 20%,개별 고취약지역
경남 거창군,81.77,10,디지털 접근 부족,디지털 접근,상위 20%,개별 고취약지역
경북 경산시,81.06,11,핵심문화공급 부족,핵심문화공급,상위 20%,개별 고취약지역
전북 순창군,77.41,12,수요취약성,핵심문화공급,상위 20%,개별 고취약지역
경북 청도군,76.74,13,수요취약성,핵심문화공급,상위 20%,개별 고취약지역
경남 의령군,76.52,14,수요취약성,핵심문화공급,상위 20%,개별 고취약지역
대전 동구,76.37,15,디지털 접근 부족,디지털 접근,상위 20%,개별 고취약지역
경북 영양군,76.05,16,수요취약성,핵심문화공급,상위 20%,최우선 공간정책 대상
전남 구례군,75.8,17,수요취약성,핵심문화공급,상위 20%,개별 고취약지역
서울 금천구,75.72,18,핵심문화공급 부족,핵심문화공급,상위 20%,개별 고취약지역
경북 청송군,74.84,19,수요취약성,핵심문화공급,상위 20%,최우선 공간정책 대상
전남 함평군,72.64,20,포용환경 부족,포용환경,상위 20%,개별 고취약지역
